Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
Babasheb Bhimrao Ambedkar University ,(IR-O-U-0498),13.23,19.25,15.84,5.23,0.0,7.6,11.18,0.5,0.4,60.0,22.46,16.82,30.0,7.77,20.0,4.8,2022,,
Indian Institute of Management Kozhikode ,(IR-O-S-8909),7.0,25.0,17.64,16.29,0.0,3.06,5.83,0.0,6.62,60.0,1.55,25.02,27.31,0.0,20.0,23.89,2022,,
Guru Nanak Dev University ,(IR-O-U-0376),14.89,17.82,10.84,751.0,0.0,10.05,14.37,1.0,3.31,60.0,18.53,3.99,29.75,2.86,20.0,10.01,2022,,
Mumbai University ,(IR-O-U-0318),15.72,16.01,10.57,10.87,2.0,7.27,8.44,5.0,1.82,60.0,22.54,2.85,28.93,417.0,20.0,7.26,2022,,
Bharathidasan University ,(IR-O-U-0448),8.06,23.16,17.27,9.22,0.0,15.72,16.08,0.0,0.76,48.5,13.3,1.01,26.23,0.87,20.0,18.81,2022,,
Sri Ramachandra Institute of Higher Education and Research ,(IR-O-1-1486),12.65,25.0,17.95,14.08,0.0,6.08,8.04,1.0,1.95,60.0,4.33,11.21,30.0,3.87,20.0,6.78,2022,,
University of Kashmir ,(IR-O-U-0196),15.92,18.94,14.8,7.42,3.5,8.0,11.34,0.0,1.89,60.0,19.56,0.0,29.44,1.93,20.0,3.78,2022,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar ",(IR-O-U-0374),11.85,24.77,14.53,6.52,0.0,12.96,14.04,0.5,0.38,60.0,6.39,15.0,21.0,8.32,20.0,4.8,2022,,
All India Institute of Medical Sciences Jodhpur ,(IR-O-U-0689),5.81,25.0,18.25,15.31,0.0,12.84,12.49,0.5,40.0,60.0,40.0,13.2,27.47,0.83,20.0,4.3,2022,,
Banasthali Vidyapith,(IR-O-U-0389),16.5,17.35,12.31,5.35,1.5,5.7,8.67,0.0,1.62,60.0,24.96,24.0,30.0,1.82,20.0,5.31,2022,,
Madurai Kamaraj University ,(IR-O-U-0463),7.72,25.0,19.13,8.98,2.5,10.43,13.08,0.0,0.53,54.04,11.2,3.32,29.14,0.0,20.0,12.6,2022,,
SVKM's Narsee Monjee Institute of Management Studies ,(IR-O-N-10),13.77,25.0,15.91,12.25,1.5,5.19,8.0,1.5,2.97,60.0,4.52,14.01,28.16,0.0,20.0,7.26,2022,,
Tezpur University ,(IR-O-U-0056),12.05,21.26,16.01,7.39,3.0,11.72,13.23,1.5,1.04,54.35,8.94,4.05,25.68,0.94,20.0,16.97,2022,,
Malaviya National Institute of Technology ,(IR-O-U-0410),13.26,17.4,13.83,7.22,0.0,17.4,18.35,1.5,143.0,50.63,10.09,12.17,17.22,6.8,20.0,3.78,2022,,
Datta Meghe Institute of Medical Sciences ,(IR-O-U-0295),11.31,25.0,18.17,10.77,0.0,7.35,8.8,6.0,1.39,55.14,4.45,12.24,30.0,3.14,20.0,1.12,2022,,
University of Jammu ,(IR-O-U-0195),13.13,23.36,17.8,9.6,1.0,7.24,10.89,0.0,1.0,60.0,14.83,0.12,30.0,0.51,16.0,2.74,2022,,
Shiv Nadar University ,(IR-O-U-0642),8.28,24.8,19.29,11.15,0.0,8.72,10.42,0.5,1.11,60.0,4.7,15.59,24.95,0.84,20.0,5.8,2022,,
Bharath Institute of Higher Education & Research ,(IR-O-U-0446),12.92,23.01,13.99,6.28,0.0,8.19,9.21,4.5,1.26,60.0,10.31,13.91,28.38,1.99,20.0,4.3,2022,,
Sri Sivasubramaniya Nadar College of Engineering ,(IR-O-C-16604),10.0,21.36,14.63,7.15,0.0,14.99,13.24,1.5,0.97,58.28,5.59,3.25,25.52,3.96,20.0,15.04,2022,,
University of Petroleum and Energy Studies ,(IR-O-U-0564),13.41,22.16,13.23,7.88,0.0,6.7,8.65,3.5,0.63,60.0,48.0,21.38,23.63,0.01,20.0,31.99,2022,,
Bangalore University ,(IR-O-U-0215),14.12,20.4,13.67,10.52,0.0,7.18,8.0,2.0,21.0,60.0,14.73,1.12,29.12,6.8,20.0,10.45,2022,,
Tata Institute of Social Sciences ,(IR-O-U-0331),12.72,21.15,14.11,8.67,0.0,3.48,3.66,0.0,3.31,60.0,18.36,16.69,28.65,10.08,20.0,11.75,2022,,
Visvesvaraya Technological University ,(IR-O-U-0249),7.52,24.2,14.88,12.34,0.0,14.17,12.47,0.5,0.14,60.0,1.1,1.78,28.39,8.19,20.0,4.3,2022,,
Indian Institute of Technology Madras ,(IR-O-U-0456),17.0,23.97,17.72,12.91,14.0,31.38,32.78,15.0,13.35,59.98,26.34,22.17,13.97,7.43,20.0,97.13,20211,,
