Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
	JSS Academy of Higher Education and Research,IR-2-O-OP-U-0222,11.97,29.7,19.38,7.95,6.57,9.09,0.5,1.08,57.53,4.36,17.6,30.0,1.04,20.0,6.47,59.0,2018,,,0.0,58.98883
Punjab Agricultural University,IR-1-O-O-U-0381,11.97,30.0,17.48,21.01,6.72,8.86,1.0,2.77,41.94,12.08,1.82,30.0,1.9,9.0,5.4,60.0,2018,,,0.0,59.999565
Gauhati University,IR-1-O-O-U-0052,16.0,22.81,14.23,11.87,7.66,11.11,0.5,0.53,5.03,17.87,3.02,30.0,2.42,9.0,6.11,61.0,2018,,,0.0,61.008915
Sri Ramachandra Medical College and Research Institute,IR-3-O-ODP-I-1486,12.32,30.0,18.73,15.84,4.54,13.7,0.5,0.76,46.22,5.19,4.95,30.0,0.15,20.0,5.76,62.0,2018,,,0.0,61.98944
SRM Institute of Science and Technology,IR-5-O-OEMDP-U-0473,16.69,21.11,10.02,9.06,9.13,16.86,1.0,1.55,60.0,4.68,15.54,21.5,0.53,20.0,8.53,63.0,2018,,,0.0,63.01257
PSG College of Technology,IR-3-O-OEM-C-37013,13.0,29.37,14.23,6.0,7.29,8.5,0.0,1.13,60.0,1.14,1.19,26.57,2.01,20.0,38.71,64.0,2018,,,0.0,64.00909
Kalinga Institute of Industrial Technology,IR-5-O-OEMLD-U-0356,17.39,19.71,11.29,8.93,5.33,11.92,0.5,4.77,60.0,9.57,18.36,25.32,2.26,20.0,3.55,65.0,2018,,,0.0,65.000725
Birla Institute of Technology,IR-5-O-OEMAP-U-0202,10.8,23.6,14.47,8.85,14.09,12.91,2.0,0.46,54.82,6.49,11.24,21.61,2.58,17.0,10.5,66.0,2018,,,0.0,66.031235
Symbiosis International,IR-1-O-O-U-0329,13.5,30.0,13.01,13.22,1.38,5.9,0.5,4.68,60.0,0.9,21.16,28.54,1.54,20.0,6.11,67.0,2018,,,0.0,67.00606
Sathyabama Institute of Science and Technology,IR-4-O-OEMA-U-0474,14.03,21.57,10.53,6.25,16.17,10.9,1.5,0.86,60.0,5.31,16.2,23.92,3.02,20.0,4.3,68.0,2018,,,0.0,68.02918
