Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR
SVKM's Narsee Monjee Institute of Management Studies ,(IR-O-N-10),13.77,25,15.91,12.25,1.5,5.19,8,1.5,2.97,60,4.52,14.01,28.16,0,20,7.26
Tezpur University ,(IR-O-U-0056),12.05,21.26,16.01,7.39,3,11.72,13.23,1.5,1.04,54.35,8.94,4.05,25.68,0.94,20,16.97
Malaviya National Institute of Technology ,(IR-O-U-0410),13.26,17.4,13.83,7.22,0,17.4,18.35,1.5,143,50.63,10.09,12.17,17.22,6.8,20,3.78
Datta Meghe Institute of Medical Sciences ,(IR-O-U-0295),11.31,25,18.17,10.77,0,7.35,8.8,6,1.39,55.14,4.45,12.24,30,3.14,20,1.12
University of Jammu ,(IR-O-U-0195),13.13,23.36,17.8,9.6,1,7.24,10.89,0,1,60,14.83,0.12,30,0.51,16,2.74
Shiv Nadar University ,(IR-O-U-0642),8.28,24.8,19.29,11.15,0,8.72,10.42,0.5,1.11,60,4.7,15.59,24.95,0.84,20,5.8
Bharath Institute of Higher Education & Research ,(IR-O-U-0446),12.92,23.01,13.99,6.28,0,8.19,9.21,4.5,1.26,60,10.31,13.91,28.38,1.99,20,4.3
Sri Sivasubramaniya Nadar College of Engineering ,(IR-O-C-16604),10,21.36,14.63,7.15,0,14.99,13.24,1.5,0.97,58.28,5.59,3.25,25.52,3.96,20,15.04
University of Petroleum and Energy Studies ,(IR-O-U-0564),13.41,22.16,13.23,7.88,0,6.7,8.65,3.5,0.63,60,48,21.38,23.63,0.01,20,31.99
Bangalore University ,(IR-O-U-0215),14.12,20.4,13.67,10.52,0,7.18,8,2,21,60,14.73,1.12,29.12,6.8,20,10.45
Tata Institute of Social Sciences ,(IR-O-U-0331),12.72,21.15,14.11,8.67,0,3.48,3.66,0,3.31,60,18.36,16.69,28.65,10.08,20,11.75
Visvesvaraya Technological University ,(IR-O-U-0249),7.52,24.2,14.88,12.34,0,14.17,12.47,0.5,0.14,60,1.1,1.78,28.39,8.19,20,4.3
